designation,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,miss_distance_min_au,miss_distance_mean_au,relative_velocity_max_kms,n_close_approaches,is_potentially_hazardous_asteroid
515767,515767 (2015 JA2),21.18,0.1543671822,0.3451755128,0.0449357517,0.12807295310333333,17.6160551133,30,1
513711,513711 (2012 PC20),21.3,0.1460679643,0.3266178974,0.1592466357,0.3356942279749999,16.5203978739,68,0
513776,513776 (2013 AA2),18.7,0.4836764882,1.0815335068,0.3392300703,0.43952601579999995,12.6583828733,7,0
514571,514571 (1996 RY3),20.42,0.219055911,0.4898239078,0.1269078933,0.3058344602000001,24.5317883585,80,0
514846,514846 (2008 EQ7),22.62,0.079534394,0.1778443116,0.1355832898,0.3148777801266668,6.7232803192,45,0
515010,515010 (2009 SK2),18.96,0.4290965044,0.9594889528,0.1678105697,0.34474103894634145,30.8554227796,41,0
515049,515049 (2010 FL),19.34,0.3602093458,0.8054525833,0.1431265067,0.16782000937,22.3095000668,10,0
515082,515082 (2010 TM3),20.68,0.1943367684,0.4345502246,0.1359194849,0.32225910150750003,6.6066941088,40,0
515742,515742 (2015 CU),20.83,0.1813656249,0.4055458661,0.1636810872,0.3151854883516393,24.2003506555,122,0
516154,516154 (2016 CL32),19.35,0.3585543342,0.8017518649,0.08844703,0.25838800096744186,24.2333337529,43,1
516155,516155 (2016 DP),20.08,0.2561857545,0.5728487619,0.0319992532,0.12155150932666667,21.7756372644,30,1
516457,516457 (2005 HM3),19.86,0.283501249,0.6339280645,0.1560379553,0.2951478256227273,19.1585977552,22,0
516868,516868 (2011 GC60),19.1,0.4023045798,0.8995803882,0.2252160626,0.33872938910999995,30.400711018,20,0
517681,517681 (2015 DE198),18.93,0.4350658314,0.9728367737,0.0267925435,0.11596815493750001,17.4135150648,8,1
518507,518507 (2006 EE1),19.94,0.273246732,0.6109982675,0.0734104822,0.1361910118730769,22.6132982002,26,0
518635,518635 (2008 HO3),18.17,0.6173834405,1.3805113411,0.0868013835,0.13994267918,16.1087245571,5,0
518640,518640 (2008 KZ5),20.05,0.2597496533,0.580817882,0.0621685945,0.2466460666653846,21.4738733817,26,1
520808,520808 (2014 TF64),20.01,0.2645787599,0.5916160926,0.1323533741,0.33869470254374995,36.0692116053,32,0
